ordernumber,orderdate,year,month,day,customername,customer_type,warehousecode,product_code,orderquantity,unitprice,revenue,costs,profit,client_group,product_type,is_holiday,week_num,year_month,year_week
SO - 000112,2015-07-28,2015,7,28,Weimei Corp,Distributor,AXW291,STK-166,8,451.92,3615.36,2152,1463.36,beta,CZ,0,31,2015-07,2015-31
SO - 000113,2015-09-12,2015,9,12,"Apotheca, Ltd",Export,NXH382,STK-106,7,206.55,1445.85,945,500.85000000000014,beta,CY,0,37,2015-09,2015-37
SO - 000114,2015-03-17,2015,3,17,S.S.S. Group,Export,NXH382,STK-145,9,305.02,2745.18,1818,927.1799999999998,alpha,CZ,1,12,2015-03,2015-12
SO - 000115,2015-06-09,2015,6,9,Mylan Corp,Distributor,AXW291,STK-154,5,345.15,1725.75,975,750.75,alpha,CY,0,24,2015-06,2015-24
SO - 000116,2015-10-10,2015,10,10,Niconovum Corp,Wholesale,FLR025,STK-157,10,444.02,4440.2,2980,1460.1999999999998,alpha,CZ,0,41,2015-10,2015-41
SO - 000117,2015-04-25,2015,4,25,ETUDE Ltd,Wholesale,NXH382,STK-136,12,287.98,3455.76,1848,1607.7600000000002,beta,CY,0,17,2015-04,2015-17
SO - 000118,2016-01-24,2016,1,24,Procter Corp,Export,AXW291,STK-125,12,167.7,2012.4,1032,980.4,beta,CZ,0,3,2016-01,2016-03
SO - 000119,2015-08-12,2015,8,12,Bare ,Distributor,FLR025,STK-152,5,359.54999999999995,1797.7499999999998,1275,522.7499999999998,beta,CY,0,33,2015-08,2015-33
SO - 000120,2016-04-20,2016,4,20,Pacific Ltd,Wholesale,AXW291,STK-156,8,178.5,1428.0,680,748.0,beta,CY,0,16,2016-04,2016-16
SO - 000121,2015-05-24,2015,5,24,Rochester Ltd,Export,GUT930,STK-109,8,432.62,3460.96,1784,1676.96,beta,CY,0,21,2015-05,2015-21
SO - 000122,2015-08-25,2015,8,25,Victory Ltd,Export,NXH382,STK-107,12,262.26,3147.12,2232,915.12,beta,CZ,0,35,2015-08,2015-35
SO - 000123,2016-04-07,2016,4,7,Select ,Distributor,AXW291,STK-102,6,354.32,2125.92,1236,889.9200000000001,beta,CZ,0,14,2016-04,2016-14
SO - 000124,2016-06-23,2016,6,23,Nipro ,Wholesale,GUT930,STK-149,12,112.56000000000002,1350.7200000000005,804,546.7200000000003,beta,CY,0,25,2016-06,2016-25
SO - 000125,2016-03-17,2016,3,17,New Ltd,Wholesale,GUT930,STK-137,12,307.98,3695.76,2124,1571.7600000000002,beta,CY,1,11,2016-03,2016-11
SO - 000126,2015-06-21,2015,6,21,Rochester Ltd,Wholesale,AXW291,STK-158,11,143.1,1574.1,990,584.0999999999999,beta,CX,0,25,2015-06,2015-25
SO - 000127,2016-04-20,2016,4,20,Mylan Corp,Distributor,GUT930,STK-120,6,444.44000000000005,2666.6400000000003,1626,1040.6400000000003,alpha,CX,0,16,2016-04,2016-16
SO - 000128,2015-04-05,2015,4,5,Mylan Corp,Wholesale,GUT930,STK-153,11,452.48,4977.280000000001,2464,2513.2800000000007,alpha,BX,0,14,2015-04,2015-14
SO - 000129,2016-03-01,2016,3,1,Medline ,Distributor,AXW291,STK-107,10,262.26,2622.6,1860,762.5999999999999,beta,CZ,0,9,2016-03,2016-09
SO - 000130,2015-03-16,2015,3,16,Bare ,Wholesale,AXW291,STK-115,6,370.62,2223.7200000000003,1044,1179.7200000000005,beta,CY,0,12,2015-03,2015-12
SO - 000131,2015-09-08,2015,9,8,Prasco Group,Distributor,NXH382,STK-110,7,538.48,3769.36,1778,1991.36,alpha,BX,0,37,2015-09,2015-37
SO - 000132,2015-10-17,2015,10,17,"Exact-Rx, Corp",Distributor,NXH382,STK-134,6,484.3,2905.8,1740,1165.7999999999995,beta,BX,0,42,2015-10,2015-42
SO - 000133,2015-12-03,2015,12,3,Rochester Ltd,Export,GUT930,STK-122,12,294.40000000000003,3532.8,2208,1324.8000000000002,beta,CY,0,49,2015-12,2015-49
SO - 000134,2015-03-16,2015,3,16,Ohio ,Distributor,FLR025,STK-142,8,88.74,709.92,464,245.92,beta,CX,0,12,2015-03,2015-12
SO - 000135,2015-04-19,2015,4,19,Trigen ,Wholesale,FLR025,STK-102,5,354.32,1771.6,1030,741.5999999999999,gamma,CZ,0,16,2015-04,2015-16
SO - 000136,2015-07-13,2015,7,13,Burt's Corp,Wholesale,AXW291,STK-159,10,603.2,6032.0,2900,3132.0,beta,AZ,0,29,2015-07,2015-29
SO - 000137,2015-06-05,2015,6,5,Rochester Ltd,Wholesale,GUT930,STK-124,7,139.87,979.09,497,482.09,beta,CZ,0,23,2015-06,2015-23
SO - 000138,2016-06-10,2016,6,10,Medline ,Wholesale,FLR025,STK-126,9,407.62,3668.58,2061,1607.58,beta,CX,0,23,2016-06,2016-23
SO - 000139,2015-08-27,2015,8,27,WakeFern ,Wholesale,AXW291,STK-132,6,311.06,1866.36,906,960.36,alpha,CY,0,35,2015-08,2015-35
SO - 000140,2015-12-25,2015,12,25,AuroMedics Corp,Wholesale,GUT930,STK-146,9,443.84,3994.56,2628,1366.5600000000004,gamma,BX,1,52,2015-12,2015-52
SO - 000141,2015-10-26,2015,10,26,AuroMedics Corp,Wholesale,AXW291,STK-158,9,143.1,1287.9,810,477.8999999999999,gamma,CX,0,44,2015-10,2015-44
SO - 000142,2016-05-08,2016,5,8,"Elorac, Corp",Distributor,FLR025,STK-125,7,167.7,1173.9,602,571.8999999999999,beta,CZ,0,18,2016-05,2016-18
SO - 000143,2016-01-03,2016,1,3,Wuxi Group,Distributor,GUT930,STK-130,9,423.7,3813.3,2007,1806.3,alpha,CZ,0,53,2016-01,2015-53
SO - 000144,2015-01-13,2015,1,13,Weimei Corp,Wholesale,AXW291,STK-115,7,370.62,2594.34,1218,1376.34,beta,CY,0,3,2015-01,2015-03
SO - 000145,2015-09-20,2015,9,20,Victory Ltd,Export,GUT930,STK-101,9,417.45,3757.05,2277,1480.0499999999995,beta,CX,0,38,2015-09,2015-38
SO - 000146,2015-06-13,2015,6,13,Dharma Ltd,Distributor,AXW291,STK-146,7,443.84,3106.88,2044,1062.88,alpha,BX,0,24,2015-06,2015-24
SO - 000147,2015-04-15,2015,4,15,Sundial ,Distributor,AXW291,STK-114,10,291.43,2914.3,1510,1404.3000000000002,alpha,CZ,0,16,2015-04,2015-16
SO - 000148,2015-12-28,2015,12,28,E. Ltd,Wholesale,NXH382,STK-108,10,548.12,5481.2,2840,2641.2,beta,BY,1,53,2015-12,2015-53
SO - 000149,2015-05-07,2015,5,7,"Fenwal, Corp",Export,AXW291,STK-102,6,354.32,2125.92,1236,889.9200000000001,alpha,CZ,0,19,2015-05,2015-19
SO - 000150,2015-05-22,2015,5,22,Winthrop ,Wholesale,AXW291,STK-149,5,112.56000000000002,562.8000000000001,335,227.80000000000007,beta,CY,0,21,2015-05,2015-21
SO - 000151,2016-05-26,2016,5,26,Nipro ,Export,AXW291,STK-108,6,548.12,3288.7200000000003,1704,1584.7200000000005,beta,BY,0,21,2016-05,2016-21
SO - 000152,2016-02-29,2016,2,29,Capweld ,Distributor,AXW291,STK-137,12,307.98,3695.76,2124,1571.7600000000002,beta,CY,0,9,2016-02,2016-09
SO - 000153,2015-01-21,2015,1,21,21st Ltd,Wholesale,AXW291,STK-135,11,311.75,3429.25,2365,1064.25,gamma,CY,0,4,2015-01,2015-04
SO - 000154,2015-12-11,2015,12,11,"Elorac, Corp",Export,FLR025,STK-127,7,207.05,1449.35,707,742.3499999999999,beta,CY,0,50,2015-12,2015-50
SO - 000155,2016-01-16,2016,1,16,Sundial ,Wholesale,FLR025,STK-166,10,451.92,4519.2,2690,1829.2,alpha,CZ,0,2,2016-01,2016-02
SO - 000156,2015-03-02,2015,3,2,Mylan Corp,Wholesale,AXW291,STK-134,7,484.3,3390.0999999999995,2030,1360.0999999999997,alpha,BX,0,10,2015-03,2015-10
SO - 000157,2015-09-25,2015,9,25,Burt's Corp,Wholesale,AXW291,STK-126,5,407.62,2038.1,1145,893.0999999999999,beta,CX,0,39,2015-09,2015-39
SO - 000158,2015-04-20,2015,4,20,21st Ltd,Distributor,AXW291,STK-151,7,341.7,2391.9,1190,1201.9,gamma,CY,0,17,2015-04,2015-17
SO - 000159,2015-09-03,2015,9,3,Avon Corp,Wholesale,AXW291,STK-121,12,346.48,4157.759999999999,2928,1229.7599999999993,alpha,CY,0,36,2015-09,2015-36
SO - 000160,2016-02-19,2016,2,19,U.S. Ltd,Wholesale,GUT930,STK-140,11,282.48,3107.28,1452,1655.2799999999995,beta,CY,0,7,2016-02,2016-07
SO - 000161,2015-02-06,2015,2,6,AuroMedics Corp,Distributor,AXW291,STK-168,8,535.02,4280.16,1928,2352.16,gamma,BZ,0,6,2015-02,2015-06
SO - 000162,2015-03-06,2015,3,6,Winthrop ,Distributor,AXW291,STK-138,6,257.28,1543.6799999999998,804,739.6799999999998,beta,CY,0,10,2015-03,2015-10
SO - 000163,2015-01-14,2015,1,14,Llorens Ltd,Wholesale,NXH382,STK-118,8,146.91,1175.28,664,511.28,gamma,CY,0,3,2015-01,2015-03
SO - 000164,2015-06-20,2015,6,20,Select ,Wholesale,AXW291,STK-156,12,178.5,2142.0,1020,1122.0,beta,CY,0,25,2015-06,2015-25
SO - 000165,2016-04-14,2016,4,14,Pacific Ltd,Distributor,GUT930,STK-125,5,167.7,838.5,430,408.5,beta,CZ,0,15,2016-04,2016-15
SO - 000166,2015-12-12,2015,12,12,OHTA'S Corp,Wholesale,AXW291,STK-135,10,311.75,3117.5,2150,967.5,gamma,CY,0,50,2015-12,2015-50
SO - 000167,2016-06-20,2016,6,20,Procter Corp,Wholesale,AXW291,STK-127,6,207.05,1242.3,606,636.3,beta,CY,0,25,2016-06,2016-25
SO - 000168,2015-03-02,2015,3,2,Ohio ,Wholesale,GUT930,STK-151,11,341.7,3758.7,1870,1888.7,beta,CY,0,10,2015-03,2015-10
SO - 000169,2015-12-16,2015,12,16,Medsep Group,Distributor,AXW291,STK-160,5,240.64,1203.1999999999998,640,563.1999999999998,beta,CZ,0,51,2015-12,2015-51
SO - 000170,2015-01-23,2015,1,23,Niconovum Corp,Distributor,AXW291,STK-124,8,139.87,1118.96,568,550.96,alpha,CZ,0,4,2015-01,2015-04
SO - 000171,2016-03-09,2016,3,9,"Fenwal, Corp",Wholesale,FLR025,STK-166,9,451.92,4067.28,2421,1646.2800000000002,alpha,CZ,0,10,2016-03,2016-10
SO - 000172,2016-04-15,2016,4,15,Llorens Ltd,Wholesale,AXW291,STK-162,6,187.18,1123.08,588,535.0799999999999,gamma,CX,0,15,2016-04,2016-15
SO - 000173,2015-02-14,2015,2,14,S.S.S. Group,Distributor,NXH382,STK-168,6,535.02,3210.12,1446,1764.12,alpha,BZ,0,7,2015-02,2015-07
SO - 000174,2016-04-13,2016,4,13,"PEDIFIX, Corp",Distributor,AXW291,STK-134,10,484.3,4843.0,2900,1943.0,beta,BX,0,15,2016-04,2016-15
SO - 000175,2015-04-04,2015,4,4,Medsep Group,Wholesale,AXW291,STK-126,11,407.62,4483.82,2519,1964.82,beta,CX,0,14,2015-04,2015-14
SO - 000176,2015-09-18,2015,9,18,Linde ,Wholesale,FLR025,STK-129,8,284.59,2276.72,1528,748.7199999999998,beta,CY,0,38,2015-09,2015-38
SO - 000177,2015-06-08,2015,6,8,U.S. Ltd,Wholesale,GUT930,STK-126,7,407.62,2853.34,1603,1250.34,beta,CX,0,24,2015-06,2015-24
SO - 000178,2015-06-29,2015,6,29,Burt's Corp,Wholesale,GUT930,STK-148,6,198.72,1192.3199999999997,648,544.3199999999997,beta,CX,0,27,2015-06,2015-27
SO - 000179,2016-02-06,2016,2,6,Ohio ,Distributor,AXW291,STK-159,8,603.2,4825.6,2320,2505.6000000000004,beta,AZ,0,5,2016-02,2016-05
SO - 000180,2015-03-07,2015,3,7,Bare ,Export,AXW291,STK-163,5,239.04,1195.2,830,365.2000000000001,beta,CY,0,10,2015-03,2015-10
SO - 000181,2015-11-13,2015,11,13,ETUDE Ltd,Distributor,GUT930,STK-118,6,146.91,881.46,498,383.46,beta,CY,0,46,2015-11,2015-46
SO - 000182,2015-02-06,2015,2,6,WakeFern ,Wholesale,GUT930,STK-110,5,538.48,2692.4,1270,1422.4,alpha,BX,0,6,2015-02,2015-06
SO - 000183,2016-05-23,2016,5,23,Pacific Ltd,Export,FLR025,STK-130,5,423.7,2118.5,1115,1003.5,beta,CZ,0,21,2016-05,2016-21
SO - 000184,2015-10-25,2015,10,25,Wuxi Group,Wholesale,NXH382,STK-144,10,127.92000000000002,1279.2000000000005,780,499.2000000000003,alpha,CY,0,43,2015-10,2015-43
SO - 000185,2015-09-22,2015,9,22,21st Ltd,Export,AXW291,STK-166,9,451.92,4067.28,2421,1646.2800000000002,gamma,CZ,0,39,2015-09,2015-39
SO - 000186,2015-01-30,2015,1,30,"Apotheca, Ltd",Wholesale,GUT930,STK-148,8,198.72,1589.7599999999998,864,725.7599999999998,beta,CX,0,5,2015-01,2015-05
SO - 000187,2015-03-19,2015,3,19,Avon Corp,Wholesale,FLR025,STK-109,5,432.62,2163.1,1115,1048.1,alpha,CY,0,12,2015-03,2015-12
SO - 000188,2016-01-14,2016,1,14,Linde ,Export,AXW291,STK-159,7,603.2,4222.400000000001,2030,2192.4000000000005,beta,AZ,0,2,2016-01,2016-02
SO - 000189,2015-01-06,2015,1,6,Bare ,Export,GUT930,STK-150,9,217.14,1954.26,1269,685.2600000000002,beta,CX,0,2,2015-01,2015-02
SO - 000190,2016-03-23,2016,3,23,OHTA'S Corp,Wholesale,GUT930,STK-125,9,167.7,1509.3,774,735.3,gamma,CZ,0,12,2016-03,2016-12
SO - 000191,2015-02-02,2015,2,2,Weimei Corp,Distributor,GUT930,STK-126,10,407.62,4076.2,2290,1786.1999999999998,beta,CX,0,6,2015-02,2015-06
SO - 000192,2015-09-30,2015,9,30,"Elorac, Corp",Wholesale,AXW291,STK-134,8,484.3,3874.4,2320,1554.3999999999996,beta,BX,0,40,2015-09,2015-40
SO - 000193,2015-03-28,2015,3,28,Capweld ,Wholesale,AXW291,STK-159,5,603.2,3016.0,1450,1566.0,beta,AZ,0,13,2015-03,2015-13
SO - 000194,2016-05-15,2016,5,15,Niconovum Corp,Wholesale,AXW291,STK-111,5,406.8,2034.0,1130,904.0,alpha,CZ,0,19,2016-05,2016-19
SO - 000195,2015-07-24,2015,7,24,S.S.S. Group,Wholesale,AXW291,STK-157,8,444.02,3552.16,2384,1168.16,alpha,CZ,0,30,2015-07,2015-30
SO - 000196,2016-06-15,2016,6,15,Bare ,Export,AXW291,STK-102,9,354.32,3188.88,1854,1334.88,beta,CZ,0,24,2016-06,2016-24
SO - 000197,2016-01-18,2016,1,18,Procter Corp,Export,AXW291,STK-165,9,145.6,1310.4,819,491.3999999999999,beta,CY,0,3,2016-01,2016-03
SO - 000198,2015-11-23,2015,11,23,O.E. Ltd,Export,FLR025,STK-100,11,115.8,1273.8000000000002,660,613.8000000000002,beta,CX,0,48,2015-11,2015-48
SO - 000199,2015-12-11,2015,12,11,Avon Corp,Wholesale,AXW291,STK-110,11,538.48,5923.280000000001,2794,3129.2800000000007,alpha,BX,0,50,2015-12,2015-50
SO - 000200,2015-10-26,2015,10,26,Bare ,Distributor,AXW291,STK-145,11,305.02,3355.22,2222,1133.2199999999998,beta,CZ,0,44,2015-10,2015-44
SO - 000201,2015-04-16,2015,4,16,Pacific Ltd,Wholesale,AXW291,STK-138,6,257.28,1543.6799999999998,804,739.6799999999998,beta,CY,0,16,2015-04,2015-16
SO - 000202,2016-03-01,2016,3,1,Victory Ltd,Wholesale,GUT930,STK-107,7,262.26,1835.82,1302,533.8199999999999,beta,CZ,0,9,2016-03,2016-09
SO - 000203,2015-08-01,2015,8,1,Uriel Group,Export,AXW291,STK-127,11,207.05,2277.55,1111,1166.5499999999995,beta,CY,0,31,2015-08,2015-31
SO - 000204,2015-12-04,2015,12,4,OHTA'S Corp,Wholesale,GUT930,STK-141,6,301.49999999999994,1808.9999999999995,900,908.9999999999995,gamma,CY,0,49,2015-12,2015-49
SO - 000205,2015-04-28,2015,4,28,Victory Ltd,Wholesale,AXW291,STK-166,8,451.92,3615.36,2152,1463.36,beta,CZ,0,18,2015-04,2015-18
SO - 000206,2015-05-21,2015,5,21,WakeFern ,Wholesale,GUT930,STK-125,7,167.7,1173.9,602,571.8999999999999,alpha,CZ,0,21,2015-05,2015-21
SO - 000207,2015-11-17,2015,11,17,Sundial ,Wholesale,GUT930,STK-122,7,294.40000000000003,2060.8,1288,772.8000000000002,alpha,CY,0,47,2015-11,2015-47
SO - 000208,2015-08-13,2015,8,13,Bare ,Distributor,AXW291,STK-159,6,603.2,3619.2,1740,1879.2000000000005,beta,AZ,0,33,2015-08,2015-33
SO - 000209,2016-05-17,2016,5,17,Trigen ,Wholesale,FLR025,STK-121,6,346.48,2078.88,1464,614.8799999999997,gamma,CY,0,20,2016-05,2016-20
SO - 000210,2015-03-14,2015,3,14,S.S.S. Group,Wholesale,GUT930,STK-117,10,301.44,3014.4,1570,1444.4,alpha,CX,0,11,2015-03,2015-11
SO - 000211,2015-04-28,2015,4,28,Select ,Wholesale,GUT930,STK-112,9,643.5,5791.5,2574,3217.5,beta,AX,0,18,2015-04,2015-18
SO - 000212,2015-01-21,2015,1,21,New Ltd,Distributor,AXW291,STK-101,12,417.45,5009.4,3036,1973.4,beta,CX,0,4,2015-01,2015-04
SO - 000213,2016-03-07,2016,3,7,Ei ,Wholesale,AXW291,STK-159,7,603.2,4222.400000000001,2030,2192.4000000000005,alpha,AZ,0,10,2016-03,2016-10
SO - 000214,2015-10-22,2015,10,22,Capweld ,Wholesale,NXH382,STK-149,6,112.56000000000002,675.3600000000001,402,273.3600000000001,beta,CY,0,43,2015-10,2015-43
SO - 000215,2015-04-08,2015,4,8,Sundial ,Distributor,AXW291,STK-143,5,111.24,556.2,270,286.20000000000005,alpha,CX,0,15,2015-04,2015-15
SO - 000216,2016-03-24,2016,3,24,Wuxi Group,Distributor,NXH382,STK-129,5,284.59,1422.9499999999998,955,467.9499999999998,alpha,CY,0,12,2016-03,2016-12
SO - 000217,2015-12-16,2015,12,16,Dharma Ltd,Distributor,GUT930,STK-145,10,305.02,3050.2,2020,1030.1999999999998,alpha,CZ,0,51,2015-12,2015-51
SO - 000218,2015-11-21,2015,11,21,Capweld ,Distributor,NXH382,STK-136,5,287.98,1439.9,770,669.9000000000001,beta,CY,0,47,2015-11,2015-47
SO - 000219,2015-09-05,2015,9,5,Niconovum Corp,Export,AXW291,STK-163,8,239.04,1912.32,1328,584.3199999999999,alpha,CY,0,36,2015-09,2015-36
SO - 000220,2016-05-08,2016,5,8,Uriel Group,Distributor,AXW291,STK-140,10,282.48,2824.8,1320,1504.7999999999995,beta,CY,0,18,2016-05,2016-18
SO - 000221,2016-04-30,2016,4,30,Procter Corp,Wholesale,AXW291,STK-117,11,301.44,3315.84,1727,1588.84,beta,CX,0,17,2016-04,2016-17
SO - 000222,2015-11-18,2015,11,18,OHTA'S Corp,Distributor,AXW291,STK-152,10,359.54999999999995,3595.4999999999995,2550,1045.4999999999995,gamma,CY,0,47,2015-11,2015-47
SO - 000223,2015-09-21,2015,9,21,Avon Corp,Export,AXW291,STK-129,11,284.59,3130.49,2101,1029.4899999999998,alpha,CY,0,39,2015-09,2015-39
SO - 000224,2015-01-25,2015,1,25,S.S.S. Group,Wholesale,AXW291,STK-153,11,452.48,4977.280000000001,2464,2513.2800000000007,alpha,BX,0,4,2015-01,2015-04
SO - 000225,2015-02-20,2015,2,20,Burt's Corp,Wholesale,AXW291,STK-160,6,240.64,1443.84,768,675.8399999999999,beta,CZ,0,8,2015-02,2015-08
SO - 000226,2015-09-03,2015,9,3,Bare ,Wholesale,GUT930,STK-138,8,257.28,2058.24,1072,986.2399999999998,beta,CY,0,36,2015-09,2015-36
SO - 000227,2016-03-08,2016,3,8,Mylan Corp,Wholesale,GUT930,STK-116,6,182.04,1092.24,492,600.24,alpha,CZ,0,10,2016-03,2016-10
SO - 000228,2016-01-08,2016,1,8,Weimei Corp,Distributor,GUT930,STK-165,5,145.6,728.0,455,273.0,beta,CY,0,1,2016-01,2016-01
SO - 000229,2015-12-31,2015,12,31,E. Ltd,Export,NXH382,STK-150,11,217.14,2388.54,1551,837.54,beta,CX,0,53,2015-12,2015-53
SO - 000230,2015-08-26,2015,8,26,Llorens Ltd,Wholesale,AXW291,STK-111,5,406.8,2034.0,1130,904.0,gamma,CZ,0,35,2015-08,2015-35
SO - 000231,2016-05-12,2016,5,12,Avon Corp,Export,AXW291,STK-115,8,370.62,2964.96,1392,1572.96,alpha,CY,0,19,2016-05,2016-19
SO - 000232,2015-06-30,2015,6,30,Mylan Corp,Wholesale,GUT930,STK-160,7,240.64,1684.48,896,788.48,alpha,CZ,0,27,2015-06,2015-27
SO - 000233,2016-06-08,2016,6,8,Wuxi Group,Wholesale,AXW291,STK-137,8,307.98,2463.84,1416,1047.84,alpha,CY,0,23,2016-06,2016-23
SO - 000234,2015-02-27,2015,2,27,21st Ltd,Distributor,AXW291,STK-111,5,406.8,2034.0,1130,904.0,gamma,CZ,0,9,2015-02,2015-09
SO - 000235,2015-09-28,2015,9,28,"Elorac, Corp",Distributor,AXW291,STK-110,12,538.48,6461.76,3048,3413.76,beta,BX,0,40,2015-09,2015-40
SO - 000236,2015-02-15,2015,2,15,Niconovum Corp,Export,NXH382,STK-137,11,307.98,3387.78,1947,1440.7800000000002,alpha,CY,0,7,2015-02,2015-07
SO - 000237,2015-09-21,2015,9,21,Pure Group,Wholesale,FLR025,STK-129,10,284.59,2845.9,1910,935.8999999999996,beta,CY,0,39,2015-09,2015-39
SO - 000238,2015-09-30,2015,9,30,"PEDIFIX, Corp",Wholesale,GUT930,STK-102,9,354.32,3188.88,1854,1334.88,beta,CZ,0,40,2015-09,2015-40
SO - 000239,2016-01-24,2016,1,24,Trigen ,Wholesale,AXW291,STK-112,9,643.5,5791.5,2574,3217.5,gamma,AX,0,3,2016-01,2016-03
SO - 000240,2015-09-16,2015,9,16,Wuxi Group,Wholesale,NXH382,STK-154,6,345.15,2070.9,1170,900.8999999999996,alpha,CY,0,38,2015-09,2015-38
SO - 000241,2015-08-15,2015,8,15,Burt's Corp,Wholesale,AXW291,STK-166,12,451.92,5423.04,3228,2195.04,beta,CZ,0,33,2015-08,2015-33
SO - 000242,2015-12-01,2015,12,1,Avon Corp,Wholesale,AXW291,STK-160,9,240.64,2165.76,1152,1013.7599999999998,alpha,CZ,0,49,2015-12,2015-49
SO - 000243,2016-05-04,2016,5,4,Linde ,Wholesale,GUT930,STK-138,12,257.28,3087.36,1608,1479.3599999999997,beta,CY,0,18,2016-05,2016-18
SO - 000244,2015-11-08,2015,11,8,Weimei Corp,Distributor,AXW291,STK-112,5,643.5,3217.5,1430,1787.5,beta,AX,0,45,2015-11,2015-45
SO - 000245,2015-08-06,2015,8,6,Ole Group,Distributor,AXW291,STK-134,10,484.3,4843.0,2900,1943.0,gamma,BX,0,32,2015-08,2015-32
SO - 000246,2015-02-19,2015,2,19,Ohio ,Wholesale,AXW291,STK-131,7,580.35,4062.45,1855,2207.4500000000003,beta,BY,0,8,2015-02,2015-08
SO - 000247,2015-08-31,2015,8,31,WakeFern ,Wholesale,GUT930,STK-139,11,574.24,6316.64,3256,3060.6400000000003,alpha,BY,1,36,2015-08,2015-36
SO - 000248,2015-05-30,2015,5,30,Amylin Group,Wholesale,AXW291,STK-111,9,406.8,3661.2,2034,1627.2000000000005,beta,CZ,0,22,2015-05,2015-22
SO - 000249,2015-10-22,2015,10,22,Pure Group,Wholesale,FLR025,STK-150,12,217.14,2605.6800000000003,1692,913.6800000000004,beta,CX,0,43,2015-10,2015-43
SO - 000250,2015-04-05,2015,4,5,S.S.S. Group,Wholesale,AXW291,STK-130,11,423.7,4660.7,2453,2207.7,alpha,CZ,0,14,2015-04,2015-14
SO - 000251,2016-05-17,2016,5,17,Capweld ,Distributor,AXW291,STK-152,10,359.54999999999995,3595.4999999999995,2550,1045.4999999999995,beta,CY,0,20,2016-05,2016-20
SO - 000252,2016-05-07,2016,5,7,Weimei Corp,Distributor,AXW291,STK-131,9,580.35,5223.150000000001,2385,2838.1500000000005,beta,BY,0,18,2016-05,2016-18
SO - 000253,2016-01-04,2016,1,4,"Exact-Rx, Corp",Wholesale,NXH382,STK-140,6,282.48,1694.8799999999997,792,902.8799999999997,beta,CY,1,1,2016-01,2016-01
SO - 000254,2016-05-09,2016,5,9,O.E. Ltd,Wholesale,NXH382,STK-165,5,145.6,728.0,455,273.0,beta,CY,0,19,2016-05,2016-19
SO - 000255,2015-10-02,2015,10,2,Medline ,Wholesale,AXW291,STK-122,12,294.40000000000003,3532.8,2208,1324.8000000000002,beta,CY,0,40,2015-10,2015-40
SO - 000256,2015-01-25,2015,1,25,Burt's Corp,Wholesale,GUT930,STK-148,9,198.72,1788.4799999999998,972,816.4799999999998,beta,CX,0,4,2015-01,2015-04
SO - 000257,2016-05-02,2016,5,2,Ascend Ltd,Wholesale,AXW291,STK-114,10,291.43,2914.3,1510,1404.3000000000002,beta,CZ,1,18,2016-05,2016-18
SO - 000258,2015-11-30,2015,11,30,Burt's Corp,Wholesale,AXW291,STK-119,11,411.09,4521.990000000001,2343,2178.9900000000007,beta,CY,1,49,2015-11,2015-49
SO - 000259,2015-11-05,2015,11,5,Medline ,Wholesale,AXW291,STK-164,11,226.8,2494.8,1155,1339.8000000000002,beta,CX,0,45,2015-11,2015-45
SO - 000260,2015-11-18,2015,11,18,AuroMedics Corp,Wholesale,AXW291,STK-121,7,346.48,2425.36,1708,717.3599999999997,gamma,CY,0,47,2015-11,2015-47
